symbol,date,open,high,low,close
BULL_REGIME,2024-02-01,100.00,100.40,99.60,100.00
CHOPPY_REGIME,2024-02-01,100.00,100.40,99.60,100.00
DRAWDOWN_RECOVERY_REGIME,2024-02-01,100.00,100.40,99.60,100.00
BULL_REGIME,2024-02-02,100.00,101.74,99.46,101.20
CHOPPY_REGIME,2024-02-02,100.00,102.90,99.10,102.00
DRAWDOWN_RECOVERY_REGIME,2024-02-02,100.00,100.90,97.10,98.00
BULL_REGIME,2024-02-05,101.20,103.08,100.62,102.50
CHOPPY_REGIME,2024-02-05,102.00,103.12,98.38,99.50
DRAWDOWN_RECOVERY_REGIME,2024-02-05,98.00,99.80,92.20,94.00
BULL_REGIME,2024-02-06,102.50,104.82,101.78,104.10
CHOPPY_REGIME,2024-02-06,99.50,102.40,98.60,101.50
DRAWDOWN_RECOVERY_REGIME,2024-02-06,94.00,96.25,86.75,89.00
BULL_REGIME,2024-02-07,104.10,106.42,103.38,105.70
CHOPPY_REGIME,2024-02-07,101.50,102.72,97.58,98.80
DRAWDOWN_RECOVERY_REGIME,2024-02-07,89.00,91.25,81.75,84.00
BULL_REGIME,2024-02-08,105.70,108.17,104.94,107.40
CHOPPY_REGIME,2024-02-08,98.80,101.56,97.94,100.70
DRAWDOWN_RECOVERY_REGIME,2024-02-08,84.00,85.80,78.20,80.00
BULL_REGIME,2024-02-09,107.40,109.86,106.64,109.10
CHOPPY_REGIME,2024-02-09,100.70,101.42,98.38,99.10
DRAWDOWN_RECOVERY_REGIME,2024-02-09,80.00,84.35,78.65,83.00
BULL_REGIME,2024-02-12,109.10,111.86,108.24,111.00
CHOPPY_REGIME,2024-02-12,99.10,102.00,98.20,101.10
DRAWDOWN_RECOVERY_REGIME,2024-02-12,83.00,88.80,81.20,87.00
BULL_REGIME,2024-02-13,111.00,113.61,110.19,112.80
CHOPPY_REGIME,2024-02-13,101.10,101.77,98.92,99.60
DRAWDOWN_RECOVERY_REGIME,2024-02-13,87.00,92.80,85.20,91.00
BULL_REGIME,2024-02-14,112.80,115.56,111.94,114.70
CHOPPY_REGIME,2024-02-14,99.60,100.80,99.20,100.40
DRAWDOWN_RECOVERY_REGIME,2024-02-14,91.00,96.80,89.20,95.00
BULL_REGIME,2024-02-15,114.70,117.89,113.71,116.90
CHOPPY_REGIME,2024-02-15,100.40,100.80,99.40,99.80
DRAWDOWN_RECOVERY_REGIME,2024-02-15,95.00,100.80,93.20,99.00
BULL_REGIME,2024-02-16,116.90,120.23,115.87,119.20
CHOPPY_REGIME,2024-02-16,99.80,100.60,99.40,100.20
DRAWDOWN_RECOVERY_REGIME,2024-02-16,99.00,104.80,97.20,103.00
