symbol,date,open,high,low,close
QQQ_LIKE,2024-01-02,100.00,100.90,99.60,100.50
QLD_LIKE,2024-01-02,50.00,50.55,49.75,50.25
TQQQ_LIKE,2024-01-02,25.00,25.40,24.80,25.15
QQQ_LIKE,2024-01-03,100.50,101.70,100.20,101.20
QLD_LIKE,2024-01-03,50.25,51.05,50.10,50.95
TQQQ_LIKE,2024-01-03,25.15,25.85,25.00,25.70
QQQ_LIKE,2024-01-04,101.20,101.45,99.90,100.10
QLD_LIKE,2024-01-04,50.95,51.10,49.75,49.85
TQQQ_LIKE,2024-01-04,25.70,25.80,24.75,24.90
QQQ_LIKE,2024-01-05,100.10,102.40,99.80,102.00
QLD_LIKE,2024-01-05,49.85,51.95,49.65,51.75
TQQQ_LIKE,2024-01-05,24.90,26.45,24.70,26.25
QQQ_LIKE,2024-01-08,102.00,102.30,100.70,101.00
QLD_LIKE,2024-01-08,51.75,51.95,50.55,50.75
TQQQ_LIKE,2024-01-08,26.25,26.35,25.25,25.45
QQQ_LIKE,2024-01-09,101.00,103.20,100.80,102.70
QLD_LIKE,2024-01-09,50.75,52.65,50.60,52.35
TQQQ_LIKE,2024-01-09,25.45,26.95,25.30,26.75
QQQ_LIKE,2024-01-10,102.70,104.10,102.40,103.80
QLD_LIKE,2024-01-10,52.35,53.50,52.10,53.20
TQQQ_LIKE,2024-01-10,26.75,27.85,26.55,27.55
QQQ_LIKE,2024-01-11,103.80,104.00,101.80,102.20
QLD_LIKE,2024-01-11,53.20,53.35,51.25,51.65
TQQQ_LIKE,2024-01-11,27.55,27.70,26.00,26.25
